deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.985727) : (0.989465)) : (x<50 ? 0.990776:0.991308)) : (x<100 ? (x<80 ? (x<70 ? 0.991483:0.99196) : (0.990615)) : (x<120 ? 0.991244:0.992767))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.992817:0.991934) : (0.987519)) : (x<400 ? 0.987211:0.988469)) : (x<800 ? (x<670 ? 0.990876:0.981075) : (x<1000 ? 0.971813:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.991777) : (1.00129)) : (x<50 ? 0.997524:0.998891)) : (x<100 ? (x<80 ? (x<70 ? 0.9894:1.00969) : (1.00549)) : (x<120 ? 1.00864:1.00803))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01235:1.04225) : (1.02902)) : (x<400 ? 1.02705:1.00758)) : (x<800 ? (x<670 ? 1.04197:1.02425) : (x<1000 ? 1.04523:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.0336) : (1.06508)) : (x<50 ? 1.11129:1.15816)) : (x<100 ? (x<80 ? (x<70 ? 1.17129:1.18691) : (1.22038)) : (x<120 ? 1.22393:1.30158))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.39261:1.46079) : (1.52604)) : (x<400 ? 1.64609:1.65982)) : (x<800 ? (x<670 ? 1.8658:1.78027) : (x<1000 ? 2.02157:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.983382) : (0.987299)) : (x<50 ? 0.988648:0.989116)) : (x<100 ? (x<80 ? (x<70 ? 0.989165:0.989461) : (0.988582)) : (x<120 ? 0.988731:0.990288))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.989181:0.985947) : (0.978909)) : (x<400 ? 0.975336:0.971311)) : (x<800 ? (x<670 ? 0.968062:0.937598) : (x<1000 ? 0.912201:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.985562) : (0.992903)) : (x<50 ? 0.987319:0.986756)) : (x<100 ? (x<80 ? (x<70 ? 0.975671:0.993797) : (0.992278)) : (x<120 ? 0.992306:0.993267))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.993834:1.01517) : (0.996058)) : (x<400 ? 0.987098:0.956895)) : (x<800 ? (x<670 ? 0.975239:0.895816) : (x<1000 ? 0.872909:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03027) : (1.06103)) : (x<50 ? 1.10606:1.15133)) : (x<100 ? (x<80 ? (x<70 ? 1.16307:1.17717) : (1.21153)) : (x<120 ? 1.21246:1.28937))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.37485:1.43382) : (1.49094)) : (x<400 ? 1.59993:1.59952)) : (x<800 ? (x<670 ? 1.77937:1.62316) : (x<1000 ? 1.78823:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.988073) : (0.99163)) : (x<50 ? 0.992905:0.9935)) : (x<100 ? (x<80 ? (x<70 ? 0.993802:0.994458) : (0.992649)) : (x<120 ? 0.993757:0.995246))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.996453:0.997921) : (0.99613)) : (x<400 ? 0.999086:1.00563)) : (x<800 ? (x<670 ? 1.01369:1.02455) : (x<1000 ? 1.03143:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.997993) : (1.00967)) : (x<50 ? 1.00773:1.01103)) : (x<100 ? (x<80 ? (x<70 ? 1.00313:1.02558) : (1.01871)) : (x<120 ? 1.02498:1.0228))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.03087:1.06933) : (1.06198)) : (x<400 ? 1.06701:1.05827)) : (x<800 ? (x<670 ? 1.1087:1.15269) : (x<1000 ? 1.21754:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03692) : (1.06913)) : (x<50 ? 1.11653:1.16498)) : (x<100 ? (x<80 ? (x<70 ? 1.17951:1.19665) : (1.22924)) : (x<120 ? 1.23541:1.31379))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.41036:1.48776) : (1.56113)) : (x<400 ? 1.69225:1.72011)) : (x<800 ? (x<670 ? 1.95223:1.93738) : (x<1000 ? 2.25491:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.971258) : (0.978175)) : (x<50 ? 0.978418:0.978184)) : (x<100 ? (x<80 ? (x<70 ? 0.977438:0.977441) : (0.973512)) : (x<120 ? 0.972392:0.973405))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.972945:0.970792) : (0.968416)) : (x<400 ? 0.959616:0.958684)) : (x<800 ? (x<670 ? 0.971333:0.937551) : (x<1000 ? 0.970901:0)))" 
